,Info,Ticker,Exchange,Ratio
0,3M Company,MMM,NYSE,10:01:00
1,Abbott Labs,ABT,NYSE,04:01:00
2,AbbVie Inc.,ABBV,NYSE,10:01:00
3,Abercrombie & Fitch Co,ANF,NYSE,01:01:00
4,Accenture,ACN,NYSE,"3 days, 3:01:00"
5,Adecoagro S.A.,ADGO,NYSE,01:01:00
6,Adidas AG,ADS,XETRA,22:01:00
7,Adobe Systems Incorporated,ADBE,NASDAQ,"1 day, 20:01:00"
8,Adr Jumia Technologies Ag,JMIA,NYSE,01:01:00
9,Advanced Auto Parts Inc,AAP,NYSE,14:01:00
10,"Advanced Micro Devices, Inc.",AMD,NASDAQ,10:01:00
11,Aegon N.V.,AEG,NYSE,01:01:00
12,Agnico Eagle Mines Limited,AEM,NYSE,06:01:00
13,Airbnb Inc ,ABNB,NASDAQ GS,15:01:00
14,Alibaba Group Holding Limited,BABA,NYSE,09:01:00
15,Alphabet Inc.,GOOGL,NASDAQ,"2 days, 10:01:00"
16,Altaba Inc.,AABA,NASDAQ,03:01:00
17,Altria Group Inc.,MO,NYSE,04:01:00
18,Aluminum Corp Of China,AOCA,NYSE,01:01:00
19,"Amazon.Com, Inc.",AMZN,NYSE,"6 days, 0:01:00"
20,Ambev S.A.,ABEV,NASDAQ,01:03:00
21,America Movil,AMX,NYSE,01:01:00
22,American Airlines Group Inc,AAL,NASDAQ,02:01:00
23,American Express Co,AXP,NYSE,15:01:00
24,American International Group (AIG),AIG,NYSE,05:01:00
25,Amgen Inc.,AMGN,NASDAQ,"1 day, 6:01:00"
26,Analog Devices,ADI,NASDAQ,15:01:00
27,Apple Inc.,AAPL,NASDAQ,20:01:00
28,Applied Materials Inc.,AMAT,NASDAQ,05:01:00
29,Arcos Dorados Holdings Inc.,ARCO,NYSE,01:02:00
30,ARK INNOVATION ARKK,ARKK,NYSE Arca,10:01:00
31,Astrazeneca Plc,AZN,NYSE,02:01:00
32,At &T Inc.,T,NYSE,03:01:00
33,Automatic Data Processing Inc.,ADP,NASDAQ,06:01:00
34,Avery Dennison Corp.,AVY,NYSE,18:01:00
35,Avis Budget Group Inc.,CAR,NASDAQ,"1 day, 2:01:00"
36,"Baidu, Inc.",BIDU,NASDAQ,11:01:00
37,Banco Bradesco S.A.,BBD,NYSE,01:01:00
38,Banco do Brasil S.A.,BBAS3,B3,02:01:00
39,Banco Santander (Brasil) S.A.,BSBR,NYSE,01:01:00
40,Banco Santander S.A,SAN,NYSE,01:04:00
41,Bank Of America Corporation,BA.C,NYSE,04:01:00
42,Barclays Bank Plc,BCS,NYSE,01:01:00
43,Barrick Gold Corp,GOLD,NYSE,02:01:00
44,Basf SE,BAS,FRANKFURT,02:01:00
45,Bayer AG,BAYN,FRANKFURT,03:01:00
46,Berkshire Hathaway Inc.,BRKB,NYSE,22:01:00
